clae6,clae6_desc
461099,Venta al por mayor en comisión o consignación de  mercaderías n.c.p.
462132,"Acopio y acondicionamiento de cereales y semillas, excepto de algodón y semillas y granos para forrajes"
463129,"Venta al por mayor de aves, huevos y productos de granja y de la caza n.c.p. (Incluye la venta al por mayor  de carne de ave fresca, congelada o refrigerada)"
464221,Venta al por mayor de papel y productos de papel y cartón excepto envases
472172,"Venta al por menor de bombones, golosinas y demás productos de confitería"
474010,"Venta al por menor de equipos, periféricos,  accesorios y programas informáticos"
476400,"Venta al por menor de juguetes, artículos de cotillón y juegos de mesa"
491110,Servicio de transporte ferroviario urbano y suburbano de pasajeros (Incluye el servicio de subterráneo y de premetro)
492140,"Servicio de transporte automotor urbano y suburbano no regular de pasajeros de oferta libre,  excepto mediante taxis y remises, alquiler de autos con chofer y transporte escolar (Incluye servicios urbanos especiales como charters, servicios contratados, servicios para ámbito portuario o aeroportuario, servicio de hipódromos y espectáculos deportivos y culturales)"
492160,Servicio de transporte automotor interurbano no regular de pasajeros
523020,Servicios de agencias marítimas para el transporte de mercaderías
551010,Servicios de alojamiento por hora
561013,"Servicios de """"fast food"""" y locales de venta de comidas y bebidas al paso (Incluye el expendio de hamburguesas, productos lácteos excepto helados, etc.) "
602310,Emisión de señales de televisión por suscripción
682091,Servicios prestados por inmobiliarias
773090,"Alquiler de maquinaria y equipo n.c.p., sin personal"
812010,Servicios de limpieza general de edificios
854990,"Servicios de enseñanza n.c.p. (Incluye instrucción impartida mediante programas de radio, televisión, correspondencia y otros medios de comunicación, escuelas de manejo, actividades de enseñanza a domicilio y/o particulares, etc.)"
862130,"Servicios de atención médica en dispensarios, salitas, vacunatorios y otros locales de atención primaria de la salud"
14115,Engorde en corrales (Feed-Lot)
14510,"Cría de ganado porcino, excepto la realizada en cabañas"
331220,Reparación y mantenimiento de maquinaria y equipo de uso agropecuario y forestal
662090,Servicios auxiliares a los servicios de seguros n.c.p.
711002,Servicios geológicos y de prospección
862120,"Servicios de proveedores de atención médica domiciliaria (Incluye las actividades llevadas a cabo en domicilios de pacientes con alta precoz, y que ofrecen atención por módulo) "
24010,"Servicios forestales para la extracción de madera (Incluye tala de árboles, acarreo y transporte en el interior del bosque, servicios realizados por terceros, etc.)"
99000,"Servicios de apoyo para la minería, excepto para la extracción de petróleo y gas natual"
11129,Cultivo de cereales de uso forrajero n.c.p.
