clae6,departamento_id,empresas_exportadoras,varones,mujeres
562091,6427,0,50,42
681010,6427,0,28,28
749009,6427,0,11,6
854990,6427,0,11,34
862130,6427,0,36,50
931042,6427,0,27,2
942000,6427,0,203,141
960910,6427,0,3,11
990000,6427,0,2,6
81300,6434,0,26,1
101012,6434,0,17,3
105030,6434,0,35,16
107410,6434,2,198,61
107500,6434,0,1,2
139209,6434,0,88,31
151200,6434,6,60,30
152031,6434,0,455,167
222010,6434,4,142,27
271020,6434,7,196,18
301100,6434,0,19,3
433040,6434,0,16,1
451190,6434,0,19,16
461032,6434,0,33,1
465910,6434,0,17,5
471120,6434,4,560,301
472112,6434,0,59,42
475290,6434,0,135,35
477310,6434,0,239,477
492110,6434,0,1275,16
492190,6434,0,344,6
492250,6434,0,19,1
524190,6434,0,18,11
691002,6434,0,10,75
863200,6434,0,25,101
920009,6434,2,103,88
960202,6434,0,3,19
11329,6441,0,30,30
11911,6441,0,40,10
81300,6441,0,86,7
170102,6441,0,43,5
201190,6441,3,58,8
202908,6441,3,19,5
210010,6441,10,405,174
331101,6441,0,27,3
352020,6441,0,144,54
453292,6441,0,11,2
464310,6441,2,159,58
465220,6441,0,2,1
475230,6441,0,226,31
524120,6441,0,34,6
649999,6441,0,18,32
662020,6441,0,48,67
682099,6441,0,85,113
691001,6441,0,30,77
692000,6441,0,54,160
771110,6441,0,10,5
829900,6441,0,371,145
843000,6441,0,47,34
854940,6441,0,3,60
862200,6441,0,8,83
869090,6441,4,335,679
641930,6448,0,6,3
14810,6455,0,8,2
681099,6455,0,5,4
477310,6462,0,1,12
351320,6466,0,27,4
11112,6469,0,16,4
16190,6469,0,6,2
107121,6469,0,2,1
491200,6469,0,15,1
522010,6469,0,14,3
551023,6469,0,8,1
949990,6469,0,31,22
960990,6469,0,7,4
14990,6476,0,3,1
106110,6476,0,16,2
477220,6476,0,1,2
492290,6476,0,7,1
561019,6476,0,3,2
812010,6476,0,1,5
101011,6434,0,1,0
201190,6434,0,10,0
370000,6434,0,16,0
464211,6434,0,1,0
464940,6434,0,1,0
823000,6434,0,3,0
14410,6441,1,1,0
107420,6441,0,2,0
162902,6441,0,2,0
241009,6441,0,5,0
259309,6441,0,10,0
452210,6441,0,5,0
452220,6441,0,9,0
461094,6441,0,3,0
466350,6441,0,25,0
492130,6441,0,1,0
492140,6441,0,13,0
652000,6441,0,2,0
360010,6448,0,1,0
611090,6448,1,5,0
11129,6455,0,1,0
711009,6455,0,1,0
16113,6462,0,3,0
292000,6462,0,1,0
711009,6462,0,1,0
14114,6466,0,1,0
14810,6466,0,3,0
170202,6466,0,2,0
360010,6466,0,1,0
702099,6466,0,1,0
16112,6469,0,6,0
472112,6469,0,9,0
491110,6469,0,6,0
492230,6469,0,7,0
81300,6476,0,4,0
89900,6476,0,4,0
410011,6476,0,1,0
471130,6476,0,3,0
477440,6476,0,3,0
681098,66056,0,6,3
942000,66056,0,23,19
11400,66077,0,31,19
472120,66112,0,8,4
651120,66112,0,3,4
691001,66112,0,1,1
949990,66112,0,3,8
11329,66126,2,622,71
463219,66126,0,26,3
475230,66126,0,23,7
477460,66126,0,1,1
561030,66126,0,7,21
829900,66126,2,34,2
931010,66126,0,10,1
960990,66126,0,37,6
11112,66133,0,1,2
11291,66133,0,8,18
11400,66133,0,13,2
14115,66140,2,33,5
453291,66140,0,7,4
463140,66140,3,19,1
471190,66140,0,3,18
474020,66140,0,2,1
641930,66140,0,10,8
702099,66140,0,14,7
949990,66140,0,6,4
107121,66147,1,14,1
151100,66147,3,201,5
780000,66147,0,23,1
861010,66147,0,1,6
91000,70007,0,1,1
471120,70014,0,2,1
829900,70014,0,5,1
614090,70021,0,5,2
711009,70021,0,5,2
11299,70028,2,159,15
11341,70028,0,1,1
152021,70028,2,17,21
381100,70028,0,2,1
429090,70028,0,353,30
464620,70028,0,9,2
465350,70028,1,4,4
465990,70028,0,34,8
472130,70028,0,22,5
474010,70028,0,34,13
475420,70028,0,10,1
478010,70028,0,18,5
479900,70028,0,4,5
492130,70028,0,3,3
524190,70028,0,8,2
602320,70028,0,12,2
602900,70028,0,23,7
649999,70028,0,12,13
681099,70028,0,10,1
861010,70028,0,323,838
931042,70028,0,4,2
960102,70028,0,1,7
960202,70028,0,1,27
477220,70035,0,2,6
239600,70042,0,22,1
439990,70042,0,26,1
466330,70042,0,12,2
469090,70042,0,14,1
472200,70042,0,4,1
477220,70042,0,7,8
477310,70042,0,10,25
492290,70042,0,66,2
562010,70042,0,5,4
662020,70042,0,1,1
812010,70042,0,5,8
863110,70042,0,1,1
949100,70042,0,69,223
611090,70049,2,47,1
239422,70056,2,41,12
259301,70056,0,7,1
472140,70056,0,1,1
472190,70056,0,5,7
691001,70056,0,1,1
854930,70056,0,7,17
949990,70056,0,17,3
841900,70063,0,10,5
12490,70070,2,13,2
105020,70070,0,12,2
107999,70070,3,35,1
681099,66056,0,5,0
14114,66063,0,3,0
14114,66077,0,1,0
614010,66077,1,5,0
530010,66105,1,1,0
110412,66112,0,6,0
241009,66112,0,5,0
681098,66112,0,1,0
702092,66112,0,2,0
11211,66126,0,16,0
103020,66126,1,2,0
201220,66126,1,2,0
410021,66126,1,48,0
469010,66126,0,9,0
11130,66133,0,4,0
491200,66133,0,14,0
16111,66140,0,2,0
16120,66140,0,1,0
429090,66140,0,49,0
422200,66147,0,6,0
110212,66154,0,2,0
14113,70007,0,2,0
110211,70007,0,2,0
422100,70007,1,23,0
433010,70007,0,3,0
472112,70007,0,1,0
492160,70007,0,1,0
492290,70007,0,42,0
259993,70021,0,6,0
960990,70021,0,2,0
251200,70028,0,1,0
452220,70028,0,7,0
463212,70028,0,1,0
512000,70028,0,1,0
773030,70028,0,8,0
791909,70028,0,1,0
822000,70028,0,1,0
103020,70035,1,1,0
466399,70035,0,4,0
562099,70035,0,1,0
702091,70035,0,6,0
463159,70042,0,4,0
491200,70042,0,9,0
12110,70049,0,1,0
432190,70049,0,4,0
960102,70049,0,23,0
110411,70056,0,1,0
475430,70056,0,1,0
524190,70056,0,2,0
931010,70056,0,2,0
11329,70063,0,1,0
103099,70070,0,1,0
451290,70070,0,1,0
170102,6203,2,225,10
463300,6203,0,13,1
472120,6203,0,4,8
475440,6203,0,1,5
492229,6203,0,70,7
551023,6203,0,1,7
662020,6203,0,5,4
749001,6203,0,2,2
829900,6203,0,15,9
11119,6210,1,239,21
16113,6210,0,7,2
360010,6210,0,4,1
429090,6210,0,3,2
472120,6210,0,2,17
472171,6210,0,9,7
492229,6210,0,113,1
942000,6210,0,13,16
949920,6210,0,3,1
960300,6210,0,5,1
14410,6217,0,2,1
105090,6217,0,2,3
463300,6217,0,38,3
472111,6217,0,2,1
477410,6217,0,2,2
552000,6217,0,6,1
649290,6217,0,2,7
812010,6217,0,14,6
949100,6217,0,1,1
14810,6224,0,13,2
110300,6224,0,1,1
429090,6224,0,23,1
432190,6224,0,14,1
453210,6224,0,15,2
461021,6224,0,1,1
461099,6224,0,4,1
463300,6224,0,16,3
466340,6224,0,2,1
682099,6224,0,2,1
822000,6224,0,2,7
492290,6231,0,25,1
351320,6238,0,37,3
451290,6238,0,1,1
475440,6238,0,3,3
851020,6238,0,12,120
293090,6245,2,16,1
331210,6245,2,12,3
351320,6245,0,355,88
421000,6245,0,105,6
432190,6245,0,48,4
472200,6245,0,1,1
492240,6245,0,6,1
522099,6245,0,35,15
139300,6252,0,60,4
181200,6252,2,35,23
231090,6252,2,108,6
241001,6252,2,70,6
274000,6252,0,70,13
360020,6252,0,190,55
410011,6252,2,415,25
410021,6252,0,160,12
429010,6252,0,7,3
451290,6252,0,10,1
465340,6252,0,7,3
465400,6252,0,6,2
466330,6252,0,10,4
492290,6252,1,432,65
602320,6252,0,3,1
823000,6252,0,20,9
11119,6260,0,1,2
14910,6260,0,2,1
110212,6260,2,1,1
131300,6260,0,1,1
139209,6260,0,21,15
161001,6260,0,8,1
279000,6260,3,67,9
432920,6260,0,9,1
439990,6260,0,70,4
451190,6260,0,8,3
452600,6260,0,18,1
472112,6260,0,24,17
472172,6260,0,25,3
473000,6260,0,255,141
475290,6260,0,97,22
475420,6260,0,1,2
476130,6260,0,7,10
477140,6260,0,11,11
479900,6260,0,18,4
421000,6203,0,11,0
