provincia,departamento,Jardines,Poblacion Jardin,Primarios,Poblacion Primaria,Secundarios,Poblacion Secundaria,SNU,Poblacion Adultos
Buenos Aires,General Pueyrredón,229.0,41427.0,169.0,62565.0,179.0,57730.0,46.0,498847.0
Buenos Aires,General San Martín,128.0,28038.0,96.0,44539.0,105.0,39634.0,22.0,332292.0
Buenos Aires,Campana,63.0,8120.0,42.0,12587.0,46.0,10846.0,8.0,76423.0
Buenos Aires,Villarino,38.0,2586.0,35.0,3677.0,17.0,3288.0,2.0,23001.0
Buenos Aires,Carlos Tejedor,27.0,1107.0,19.0,1557.0,11.0,1266.0,3.0,10077.0
Buenos Aires,General Villegas,39.0,2797.0,32.0,4006.0,18.0,3428.0,3.0,24824.0
Buenos Aires,Rivadavia,19.0,1734.0,20.0,2317.0,12.0,1873.0,1.0,13811.0
Buenos Aires,Olavarría,86.0,8554.0,73.0,13055.0,46.0,11526.0,13.0,88876.0
Buenos Aires,Esteban Echeverría,80.0,27670.0,71.0,41112.0,74.0,34241.0,2.0,234857.0
Buenos Aires,Tigre,150.0,32611.0,111.0,51961.0,117.0,45401.0,6.0,316318.0
Buenos Aires,Exaltación de la Cruz,22.0,3424.0,21.0,4920.0,16.0,3860.0,2.0,27832.0
Buenos Aires,Maipú,14.0,861.0,12.0,1234.0,5.0,995.0,1.0,8163.0
Buenos Aires,Laprida,20.0,901.0,16.0,1366.0,7.0,1152.0,1.0,8077.0
Buenos Aires,Castelli,13.0,760.0,17.0,1013.0,3.0,904.0,2.0,6874.0
Buenos Aires,Escobar,88.0,21900.0,75.0,31983.0,81.0,25714.0,6.0,176474.0
Buenos Aires,Bahía Blanca,124.0,22621.0,94.0,33944.0,87.0,28746.0,30.0,249194.0
Buenos Aires,Capitán Sarmiento,17.0,1180.0,12.0,1713.0,7.0,1441.0,1.0,11548.0
Buenos Aires,Azul,57.0,5390.0,55.0,8219.0,31.0,7066.0,7.0,54477.0
Buenos Aires,Patagones,35.0,2857.0,30.0,4262.0,18.0,3335.0,2.0,27045.0
Buenos Aires,Las Flores,24.0,1982.0,39.0,2771.0,14.0,2543.0,1.0,19840.0
Buenos Aires,Tres Arroyos,52.0,4260.0,43.0,6392.0,26.0,5392.0,3.0,45845.0
Buenos Aires,San Fernando,87.0,11498.0,55.0,17900.0,52.0,15461.0,5.0,126240.0
Buenos Aires,Luján,69.0,8352.0,49.0,12341.0,40.0,10388.0,10.0,79030.0
Buenos Aires,General La Madrid,21.0,866.0,16.0,1263.0,11.0,980.0,1.0,8426.0
Buenos Aires,Ayacucho,26.0,1699.0,36.0,2442.0,14.0,2150.0,2.0,15466.0
Buenos Aires,Dolores,20.0,2569.0,22.0,3369.0,11.0,2998.0,4.0,22469.0
Buenos Aires,Punta Indio,16.0,936.0,14.0,1384.0,7.0,1047.0,1.0,8794.0
Buenos Aires,Cañuelas,34.0,6225.0,38.0,9538.0,33.0,7497.0,1.0,47282.0
Buenos Aires,San Antonio de Areco,34.0,2120.0,18.0,2873.0,12.0,2569.0,4.0,19133.0
Buenos Aires,Rojas,31.0,1851.0,23.0,2724.0,11.0,2362.0,1.0,18682.0
Buenos Aires,Colón,22.0,2014.0,16.0,2851.0,12.0,2561.0,1.0,19980.0
Buenos Aires,Rauch,22.0,1197.0,24.0,1761.0,10.0,1519.0,1.0,12014.0
Buenos Aires,Marcos Paz,29.0,5973.0,24.0,8477.0,21.0,7148.0,0.0,43163.0
Buenos Aires,Arrecifes,29.0,2644.0,20.0,3542.0,12.0,2961.0,1.0,22930.0
Buenos Aires,San Pedro,41.0,5781.0,42.0,8283.0,27.0,7113.0,7.0,47176.0
Buenos Aires,Tres de Febrero,140.0,21166.0,87.0,33616.0,88.0,30170.0,14.0,277367.0
Buenos Aires,Leandro N. Alem,20.0,1361.0,15.0,1838.0,9.0,1700.0,1.0,12254.0
Buenos Aires,Florencio Varela,102.0,44663.0,98.0,64455.0,108.0,52426.0,7.0,326559.0
Buenos Aires,Chacabuco,44.0,3518.0,37.0,5344.0,21.0,4811.0,6.0,38736.0
