provincia,departamento,total
Buenos Aires,La Matanza,127962.0
Buenos Aires,Vicente López,120347.0
Buenos Aires,General Pueyrredón,118660.0
Buenos Aires,San Isidro,98372.0
Buenos Aires,La Plata,89699.0
Buenos Aires,Tigre,83661.0
Buenos Aires,General San Martín,80264.0
Buenos Aires,Quilmes,70121.0
Buenos Aires,Pilar,69099.0
Buenos Aires,Bahía Blanca,64116.0
Buenos Aires,Avellaneda,59956.0
Buenos Aires,Lomas de Zamora,58891.0
Buenos Aires,Tres de Febrero,56379.0
Buenos Aires,Morón,55064.0
Buenos Aires,Lanús,53271.0
Buenos Aires,Almirante Brown,42327.0
Buenos Aires,Malvinas Argentinas,39327.0
Buenos Aires,Escobar,37585.0
Buenos Aires,Esteban Echeverría,35457.0
Buenos Aires,Moreno,35171.0
Buenos Aires,San Fernando,29419.0
Buenos Aires,Berazategui,28710.0
Buenos Aires,Ezeiza,28664.0
Buenos Aires,Zárate,28304.0
Buenos Aires,San Miguel,28070.0
Buenos Aires,Merlo,24883.0
Buenos Aires,Campana,23261.0
Buenos Aires,Tandil,21707.0
Buenos Aires,Ituzaingó,20468.0
Buenos Aires,Florencio Varela,19995.0
Buenos Aires,San Nicolás,19385.0
Buenos Aires,Olavarría,18306.0
Buenos Aires,Pergamino,18004.0
Buenos Aires,Hurlingham,17278.0
Buenos Aires,Luján,17175.0
Buenos Aires,General Rodríguez,15624.0
Buenos Aires,Junín,15266.0
Buenos Aires,Ensenada,14350.0
Buenos Aires,Necochea,12459.0
Buenos Aires,Ramallo,11849.0
Buenos Aires,José C. Paz,11444.0
Buenos Aires,Cañuelas,10047.0
Buenos Aires,Azul,9371.0
Buenos Aires,Mercedes,8903.0
Buenos Aires,Tres Arroyos,8454.0
Buenos Aires,Chivilcoy,8419.0
Buenos Aires,Berisso,8338.0
Buenos Aires,Salto,7978.0
Buenos Aires,San Pedro,7925.0
Buenos Aires,La Costa,7815.0
Buenos Aires,Pinamar,6999.0
Buenos Aires,Chacabuco,6981.0
Buenos Aires,Balcarce,6902.0
Buenos Aires,Trenque Lauquen,6655.0
Buenos Aires,9 de Julio,5714.0
Buenos Aires,Villa Gesell,5435.0
Buenos Aires,Bragado,5309.0
Buenos Aires,Baradero,4929.0
Buenos Aires,Lincoln,4911.0
Buenos Aires,Coronel Suárez,4741.0
Buenos Aires,San Vicente,4719.0
Buenos Aires,Brandsen,4690.0
Buenos Aires,Chascomús,4686.0
Buenos Aires,Lobos,4337.0
Buenos Aires,Rojas,4128.0
Buenos Aires,Marcos Paz,3904.0
Buenos Aires,Colón,3898.0
Buenos Aires,General Alvarado,3792.0
Buenos Aires,General Villegas,3773.0
Buenos Aires,Pehuajó,3709.0
Buenos Aires,Exaltación de la Cruz,3676.0
Buenos Aires,Arrecifes,3598.0
Buenos Aires,Saladillo,3527.0
Buenos Aires,Bolívar,3463.0
Buenos Aires,San Andrés de Giles,3370.0
Buenos Aires,San Antonio de Areco,3366.0
Buenos Aires,Coronel de Marina Leonardo Rosales,3227.0
Buenos Aires,25 de Mayo,3201.0
Buenos Aires,Presidente Perón,3062.0
Buenos Aires,Carlos Casares,2751.0
Buenos Aires,Capitán Sarmiento,2726.0
Buenos Aires,Monte,2718.0
Buenos Aires,Villarino,2515.0
Buenos Aires,General Juan Madariaga,2360.0
Buenos Aires,Dolores,2348.0
Buenos Aires,Saavedra,2292.0
Buenos Aires,Las Flores,2290.0
Buenos Aires,General Las Heras,2274.0
Buenos Aires,Coronel Pringles,2245.0
Buenos Aires,Benito Juárez,2191.0
Buenos Aires,Patagones,2182.0
Buenos Aires,Rivadavia,2101.0
Buenos Aires,Carmen de Areco,2092.0
Buenos Aires,Daireaux,1972.0
Buenos Aires,Puán,1963.0
Buenos Aires,Mar Chiquita,1956.0
Buenos Aires,Magdalena,1926.0
Buenos Aires,Ayacucho,1924.0
Buenos Aires,Navarro,1762.0
Buenos Aires,Adolfo Alsina,1761.0
Buenos Aires,Tornquist,1699.0
Buenos Aires,Lobería,1695.0
Buenos Aires,Coronel Dorrego,1620.0
Buenos Aires,General Arenales,1606.0
