Provincia,Departamento,Cant_Expo_Mujeres,Cant_EE,Poblacion
Cordoba,Capital,1296.0,1327.0,1498060.0
Santa Fe,Rosario,1425.0,1130.0,1337958.0
Buenos Aires,La Matanza,864.0,1088.0,1837168.0
Buenos Aires,La Plata,233.0,756.0,756074.0
Entre Rios,Paraná,275.0,672.0,388716.0
Buenos Aires,General Pueyrredón,793.0,623.0,660569.0
Buenos Aires,Lomas de Zamora,329.0,618.0,685644.0
Santa Fe,La Capital,337.0,599.0,568259.0
Tucuman,Capital,286.0,587.0,587289.0
Salta,Capital,360.0,545.0,624003.0
Chaco,San Fernando,200.0,538.0,413764.0
Buenos Aires,Quilmes,414.0,530.0,631774.0
Rio Negro,General Roca,529.0,481.0,379627.0
Neuquen,Confluencia,541.0,465.0,467217.0
Cordoba,San Justo,288.0,457.0,228951.0
Buenos Aires,Almirante Brown,255.0,455.0,583209.0
Misiones,Capital,168.0,440.0,391498.0
Chaco,General Güemes,4.0,432.0,68429.0
Cordoba,Río Cuarto,268.0,429.0,277979.0
Buenos Aires,Moreno,207.0,417.0,575758.0
Buenos Aires,Lanús,400.0,405.0,460081.0
Santiago Del Estero,Capital,103.0,396.0,328824.0
Buenos Aires,Tigre,572.0,384.0,446291.0
Corrientes,Capital,113.0,383.0,437446.0
Buenos Aires,Merlo,92.0,380.0,581484.0
Mendoza,San Rafael,186.0,378.0,213204.0
Santa Fe,General Obligado,116.0,378.0,197533.0
Buenos Aires,Pilar,596.0,360.0,393614.0
Buenos Aires,Morón,338.0,356.0,329517.0
Buenos Aires,Avellaneda,522.0,354.0,366117.0
Buenos Aires,General San Martín,791.0,351.0,444503.0
San Luis,Juan Martín de Pueyrredón,217.0,347.0,260769.0
Buenos Aires,San Isidro,935.0,343.0,295978.0
Buenos Aires,Bahía Blanca,282.0,335.0,334505.0
Buenos Aires,Tres de Febrero,493.0,329.0,362319.0
Santa Fe,Castellanos,250.0,329.0,189464.0
Buenos Aires,Berazategui,193.0,328.0,358328.0
Jujuy,Dr. Manuel Belgrano,91.0,327.0,319469.0
Formosa,Patiño,7.0,324.0,81600.0
Buenos Aires,Vicente López,1122.0,318.0,280541.0
Buenos Aires,Florencio Varela,101.0,315.0,488103.0
Buenos Aires,San Miguel,99.0,310.0,327650.0
Santiago Del Estero,Banda,26.0,306.0,170401.0
Misiones,Guaraní,18.0,304.0,77075.0
Santa Fe,General López,288.0,299.0,200455.0
Formosa,Formosa,71.0,296.0,268572.0
Cordoba,Colón,175.0,295.0,294511.0
Misiones,Oberá,84.0,294.0,120703.0
Entre Rios,Gualeguaychú,101.0,290.0,125176.0
CABA,Comuna 13,716.0,285.0,262330.0
Santa Fe,San Cristóbal,27.0,285.0,72593.0
Salta,General José de San Martín,53.0,281.0,177448.0
Santa Fe,Las Colonias,155.0,278.0,114730.0
Entre Rios,Concordia,135.0,277.0,197603.0
Cordoba,Unión,102.0,264.0,113635.0
Misiones,Cainguás,43.0,260.0,59875.0
CABA,Comuna 1,2934.0,259.0,221001.0
Buenos Aires,Malvinas Argentinas,403.0,258.0,349401.0
Mendoza,Guaymallén,335.0,258.0,320871.0
CABA,Comuna 14,918.0,255.0,247252.0
Formosa,Pirané,11.0,254.0,72560.0
Entre Rios,Uruguay,76.0,251.0,115516.0
Buenos Aires,Escobar,317.0,250.0,256071.0
Mendoza,Capital,367.0,248.0,123715.0
La Rioja,Capital,135.0,241.0,210507.0
Cordoba,Punilla,129.0,241.0,219494.0
CABA,Comuna 4,702.0,240.0,227024.0
Tucuman,Cruz Alta,68.0,238.0,227688.0
CABA,Comuna 12,509.0,235.0,235364.0
Chubut,Escalante,241.0,229.0,214829.0
Salta,Rivadavia,0.0,229.0,38062.0
Rio Negro,Bariloche,141.0,228.0,161443.0
Buenos Aires,Esteban Echeverría,144.0,227.0,337880.0
Entre Rios,La Paz,29.0,226.0,75271.0
Cordoba,General San Martín,149.0,224.0,152397.0
Corrientes,Goya,28.0,221.0,106223.0
Buenos Aires,Olavarría,93.0,218.0,122011.0
Santa Fe,Vera,14.0,217.0,55463.0
Misiones,General Manuel Belgrano,9.0,217.0,45456.0
CABA,Comuna 11,367.0,216.0,201905.0
Cordoba,Marcos Juárez,116.0,215.0,107286.0
San Luis,General Pedernera,136.0,214.0,148671.0
Mendoza,Godoy Cruz,216.0,213.0,194557.0
Buenos Aires,Tandil,93.0,212.0,144678.0
CABA,Comuna 7,274.0,211.0,213262.0
CABA,Comuna 3,427.0,210.0,193537.0
San Juan,Capital,181.0,210.0,114849.0
Misiones,Iguazú,36.0,209.0,99838.0
Mendoza,Maipú,359.0,206.0,218887.0
Entre Rios,Villaguay,32.0,206.0,55284.0
Chaco,Libertador General San Martín,6.0,206.0,65304.0
Tucuman,Leales,14.0,205.0,66352.0
Misiones,San Ignacio,11.0,205.0,63194.0
Cordoba,Río Segundo,126.0,204.0,113311.0
Entre Rios,Nogoyá,21.0,204.0,42954.0
Buenos Aires,San Fernando,187.0,199.0,171099.0
Cordoba,Tercero Arriba,110.0,198.0,120207.0
Cordoba,Cruz del Eje,15.0,198.0,64748.0
Cordoba,Santa María,105.0,197.0,139012.0
Buenos Aires,San Nicolás,59.0,197.0,166657.0
Salta,Orán,63.0,193.0,159715.0
Chubut,Rawson,133.0,189.0,144420.0
Buenos Aires,José C. Paz,32.0,189.0,326527.0
Formosa,Pilcomayo,14.0,189.0,94116.0
CABA,Comuna 9,395.0,187.0,167908.0
Santiago Del Estero,Río Hondo,1.0,187.0,66637.0
CABA,Comuna 10,240.0,185.0,171896.0
CABA,Comuna 8,226.0,184.0,203888.0
Buenos Aires,Pergamino,164.0,184.0,114988.0
Mendoza,San Martín,134.0,180.0,139406.0
Entre Rios,Federación,50.0,179.0,78264.0
Cordoba,Río Primero,58.0,178.0,58181.0
Mendoza,Las Heras,94.0,177.0,233839.0
Misiones,Eldorado,40.0,177.0,91133.0
Santa Fe,San Lorenzo,243.0,173.0,193786.0
Misiones,Leandro N. Alem,28.0,173.0,49391.0
Buenos Aires,Ituzaingó,114.0,172.0,177983.0
Misiones,San Pedro,0.0,171.0,34690.0
CABA,Comuna 15,685.0,169.0,195265.0
Chaco,Comandante Fernández,24.0,169.0,101086.0
Buenos Aires,Luján,96.0,168.0,110111.0
CABA,Comuna 6,280.0,166.0,201764.0
Buenos Aires,Hurlingham,128.0,166.0,185361.0
Mendoza,Luján de Cuyo,421.0,165.0,171883.0
Misiones,Libertador General San Martín,27.0,165.0,52166.0
Santiago Del Estero,Pellegrini,2.0,165.0,26193.0
La Pampa,Capital,74.0,164.0,118504.0
Catamarca,Capital,108.0,162.0,186466.0
Tucuman,Burruyacú,9.0,162.0,45459.0
CABA,Comuna 5,312.0,161.0,192449.0
Buenos Aires,Ezeiza,144.0,161.0,198620.0
Cordoba,Calamuchita,29.0,161.0,75462.0
Buenos Aires,Campana,100.0,159.0,107976.0
Santa Fe,San Jerónimo,77.0,159.0,84617.0
Buenos Aires,Necochea,49.0,159.0,101483.0
Santa Fe,9 de Julio,24.0,159.0,30942.0
Santiago Del Estero,Figueroa,0.0,159.0,20246.0
Tucuman,Tafí Viejo,59.0,155.0,172877.0
Entre Rios,Diamante,30.0,155.0,52312.0
