clae6,departamento_id,empresas_exportadoras,varones,mujeres,clae3
202101,6112,0,2,1,202
282120,6112,5,166,29,282
329090,6112,0,94,10,329
382010,6112,0,37,1,382
382020,6112,0,48,17,382
462131,6112,2,29,8,462
464632,6112,0,1,1,464
561030,6112,0,8,10,561
750000,6112,0,4,1,750
351320,6119,0,48,13,351
360010,6119,0,13,2,360
431210,6119,0,7,1,431
451190,6119,0,62,27,451
475430,6119,0,5,1,475
477410,6119,0,1,1,477
493110,6119,0,7,1,493
561019,6119,0,2,3,561
692000,6119,0,5,21,692
712000,6119,0,4,2,712
821900,6119,0,1,1,821
201190,6126,2,1,1,201
259309,6126,0,3,1,259
259910,6126,2,80,3,259
293090,6126,2,445,58,293
429090,6126,0,524,31,429
432200,6126,0,61,4,432
439100,6126,0,11,1,439
464620,6126,0,2,2,464
466340,6126,0,42,15,466
475230,6126,0,54,13,475
475410,6126,0,4,2,475
491110,6126,0,92,12,491
551022,6126,0,12,28,551
561030,6126,0,18,25,561
681010,6126,0,1,1,681
749009,6126,0,52,13,749
822000,6126,0,3,4,822
14510,6134,0,23,5,014
14910,6134,0,8,1,014
101012,6134,0,101,1,101
107500,6134,0,4,3,107
382020,6134,0,28,4,382
461021,6134,0,5,2,461
461040,6134,0,11,10,461
466121,6134,0,241,15,466
477810,6134,0,8,1,477
920009,6134,0,2,16,920
11119,6140,0,33,3,011
14113,6140,2,38,7,014
16210,6140,2,49,7,016
351320,6140,0,5,1,351
14113,6147,1,86,10,014
16113,6147,0,4,2,016
162909,6147,0,1,1,162
475490,6147,0,7,1,475
551023,6147,0,9,9,551
852100,6147,0,10,40,852
949990,6154,0,7,1,949
11119,6161,0,38,4,011
14410,6161,0,24,5,014
16140,6161,0,10,1,016
472190,6161,0,1,1,472
477470,6161,0,2,1,477
949990,6161,0,1,6,949
14121,6168,0,3,1,014
477190,6168,0,1,5,477
812010,6168,0,1,2,812
202101,6175,4,67,17,202
281600,6175,0,28,2,281
461011,6175,0,93,16,461
681098,6175,0,1,2,681
949990,6175,0,16,12,949
472171,6182,0,25,19,472
475290,6182,0,34,4,475
477310,6182,0,16,27,477
501100,6182,0,12,1,501
524210,6182,0,3,2,524
601000,6182,0,2,3,601
780000,6182,0,2,1,780
949910,6182,0,7,10,949
14510,6189,0,16,2,014
920001,6189,0,1,7,920
14121,6196,0,13,2,014
16119,6196,0,27,1,016
461011,6196,1,43,11,461
492230,6196,0,12,1,492
561019,6196,0,4,4,561
619000,6196,0,6,5,619
681099,6196,0,5,2,681
851020,6196,0,13,63,851
852100,6196,0,3,19,852
920001,6196,0,1,2,920
21030,6203,4,20,6,021
432190,6112,0,3,0,432
469090,6112,0,6,0,469
492221,6112,0,13,0,492
791100,6112,0,1,0,791
941100,6112,0,1,0,941
492130,6119,0,3,0,492
581300,6119,0,1,0,581
620200,6119,0,1,0,620
101020,6126,2,16,0,101
108000,6126,0,2,0,108
161002,6126,0,7,0,161
282300,6126,0,6,0,282
351201,6126,1,35,0,351
432990,6126,0,20,0,432
452401,6126,0,1,0,452
501100,6126,0,3,0,501
601000,6126,0,1,0,601
329090,6134,0,8,0,329
433010,6134,0,1,0,433
842500,6134,0,2,0,842
14810,6140,0,4,0,014
14820,6140,0,5,0,014
16292,6140,0,10,0,016
422200,6140,0,1,0,422
702099,6140,0,2,0,702
16299,6147,0,16,0,016
433040,6147,0,2,0,433
463180,6147,0,1,0,463
463219,6147,0,1,0,463
475260,6147,0,1,0,475
492230,6147,0,5,0,492
16119,6154,0,4,0,016
16120,6154,0,8,0,016
