,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Listado de establecimientos educativos y sus ofertas activas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: Padrón Oficial de Establecimientos Educativos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fecha de actualización: 04/2022.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Establecimiento - Localización,,,,,,,,,,,,,Modalidad,,,,,,,Común,,,,,,,Artística,,,Especial,,,,,Adultos,,,,,Hospitalaria,,,Servicios complementarios
Jurisdicción,Cueanexo,Nombre,Sector,Ámbito,Domicilio,C. P.,Código de área,Teléfono,Código de localidad,Localidad,Departamento,Mail,Común,Especial,Adultos,Artística,Hospitalaria,Intercultural,Encierro,Nivel inicial - Jardín maternal,Nivel inicial - Jardín de infantes,Primario,Secundario,Secundario - INET,SNU,SNU - INET,Secundario,SNU,Talleres,Nivel inicial - Educación temprana,Nivel inicial - Jardín de infantes,Primario,Secundario,Integración a la modalidad común/ adultos,Primario,Secundario,Alfabetización,Formación Profesional,Formación Profesional - INET,Inicial,Primario,Secundario,
Ciudad de Buenos Aires,020000100,INSTITUTO PRIVADO ESCUELA EVANGELICA WILLIAM C. MORRIS,Privado,Urbano,SUÁREZ  684 BOCA,C1162,11,4301-2922/4301-1606,02104001,CIUDAD DE BUENOS AIRES,Comuna 4,RECTORIA@INSTITUTOWMORRIS.EDU.AR // DIRECCIONPRIMARIA@INSTITUTOWMORRIS@EDU.AR,1, , , , , , ,1,1,1,1, , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020000200,CARLOS R. VIGNALE,Estatal,Urbano,WENCESLAO VILLAFAÑE 453 BOCA,C1160,11,4362-5614,02104001,CIUDAD DE BUENOS AIRES,Comuna 4,dep_epc2_de4@bue.edu.ar,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020000300,INSTITUTO SAN CAYETANO,Privado,Urbano,VIDAL 1743 BELGRANO,C1426,11,4783-0889 INT119,02113001,CIUDAD DE BUENOS AIRES,Comuna 13,SANCAYETANOPRIMARIA@GMAIL.COM,1, , , , , , ,1,1,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020000500,INSTITUTO NUESTRA SEÑORA DEL ROSARIO,Privado,Urbano,CIUDAD DE LA PAZ 1839 BELGRANO,C1428,11,4784-6788/4706-0938,02113001,CIUDAD DE BUENOS AIRES,Comuna 13,PRIMARIANSROSARIO@GMAIL.COM/SECUNDARIANSROSARIO@GMAIL.COM,1, , , , , , ,1,1,1,1, , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020000700,INSTITUTO NTRA SEÑORA DE LUJAN DE LOS PATRIOTAS,Privado,Urbano,AVDA. EMILIO CASTRO 7142 MATADEROS,C1408,11,4687-8069,02109001,CIUDAD DE BUENOS AIRES,Comuna 9,LUJANDELOSPATRIOTAS@HOTMAIL.COM,1, , , , , , ,1,1,1,1, , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020000800,DR MARTINIANO LEGUIZAMON,Estatal,Urbano,MARTINIANO LEGUIZAMON 1470 MATADEROS,C1440,11,4687-0063,02109001,CIUDAD DE BUENOS AIRES,Comuna 9,dep_epc16_de20@bue.edu.ar,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020000900,BENITO QUINQUELA MARTIN,Estatal,Urbano,AVDA. DON PEDRO DE MENDOZA 1835 BOCA 4303-7814,C1169,11,4301-1357,02104001,CIUDAD DE BUENOS AIRES,Comuna 4,dep_epc9_de4@bue.edu.ar,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020001000,JOSE JACINTO BERRUTTI,Estatal,Urbano,BENITO QUINQUELA MARTIN 1081 BOCA,C1167,11,4301-8990,02104001,CIUDAD DE BUENOS AIRES,Comuna 4,dep_epc4_de4@bue.edu.ar,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020001100,REPUBLICA ITALIANA,Estatal,Urbano,RIO CUARTO 1249 BOCA,C1168,11,4301-0301,02104001,CIUDAD DE BUENOS AIRES,Comuna 4,dep_epc19_de4@bue.edu.ar,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
Ciudad de Buenos Aires,020001200,JUAN MARIA GUTIERREZ,Estatal,Urbano,ROCHA 1226 BOCA,C1166,11,4301-1020,02104001,CIUDAD DE BUENOS AIRES,Comuna 4,dep_epc3_de4@bue.edu.ar,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
