anio,in_departamentos,departamento,provincia_id,provincia,clae6,clae2,letra,genero,Empleo,Establecimientos,empresas_exportadoras
2021,2007,Comuna 1,2,CABA,11111,1,A,Varones,29,5,4
2021,2007,Comuna 1,2,CABA,11111,1,A,Mujeres,4,4,4
2021,2007,Comuna 1,2,CABA,11112,1,A,Varones,295,45,2
2021,2007,Comuna 1,2,CABA,11112,1,A,Mujeres,112,28,2
2021,2007,Comuna 1,2,CABA,11119,1,A,Varones,911,224,8
2021,2007,Comuna 1,2,CABA,11119,1,A,Mujeres,282,119,8
2021,2007,Comuna 1,2,CABA,11121,1,A,Varones,70,16,0
2021,2007,Comuna 1,2,CABA,11121,1,A,Mujeres,15,13,0
2021,2007,Comuna 1,2,CABA,11129,1,A,Varones,63,16,0
2021,2007,Comuna 1,2,CABA,11129,1,A,Mujeres,15,8,0
2021,2007,Comuna 1,2,CABA,11130,1,A,Varones,2,2,0
2021,2007,Comuna 1,2,CABA,11211,1,A,Varones,570,157,9
2021,2007,Comuna 1,2,CABA,11211,1,A,Mujeres,173,87,9
2021,2007,Comuna 1,2,CABA,11291,1,A,Mujeres,4,2,1
2021,2007,Comuna 1,2,CABA,11291,1,A,Varones,14,4,1
2021,2007,Comuna 1,2,CABA,11299,1,A,Varones,149,16,4
2021,2007,Comuna 1,2,CABA,11299,1,A,Mujeres,21,9,4
2021,2007,Comuna 1,2,CABA,11310,1,A,Varones,28,4,0
2021,2007,Comuna 1,2,CABA,11310,1,A,Mujeres,1,1,0
2021,2007,Comuna 1,2,CABA,11329,1,A,Varones,11,6,2
2021,2007,Comuna 1,2,CABA,11329,1,A,Mujeres,4,2,2
2021,2007,Comuna 1,2,CABA,11331,1,A,Varones,4,2,0
2021,2007,Comuna 1,2,CABA,11331,1,A,Mujeres,4,1,0
2021,2007,Comuna 1,2,CABA,11341,1,A,Varones,1,1,0
2021,2007,Comuna 1,2,CABA,11342,1,A,Varones,5,3,1
2021,2007,Comuna 1,2,CABA,11342,1,A,Mujeres,1,1,1
2021,2007,Comuna 1,2,CABA,11501,1,A,Varones,40,6,0
2021,2007,Comuna 1,2,CABA,11501,1,A,Mujeres,3,2,0
2021,2007,Comuna 1,2,CABA,11912,1,A,Varones,1,1,0
2021,2007,Comuna 1,2,CABA,11990,1,A,Varones,5,3,0
2021,2007,Comuna 1,2,CABA,12110,1,A,Varones,40,15,5
2021,2007,Comuna 1,2,CABA,12110,1,A,Mujeres,10,9,5
2021,2007,Comuna 1,2,CABA,12121,1,A,Varones,14,3,1
2021,2007,Comuna 1,2,CABA,12200,1,A,Varones,26,4,4
2021,2007,Comuna 1,2,CABA,12200,1,A,Mujeres,3,2,4
2021,2007,Comuna 1,2,CABA,12311,1,A,Varones,57,6,3
2021,2007,Comuna 1,2,CABA,12311,1,A,Mujeres,8,4,3
2021,2007,Comuna 1,2,CABA,12320,1,A,Varones,37,5,0
2021,2007,Comuna 1,2,CABA,12320,1,A,Mujeres,8,2,0
2021,2007,Comuna 1,2,CABA,12410,1,A,Varones,1,1,1
2021,2007,Comuna 1,2,CABA,12420,1,A,Varones,5,3,0
2021,2007,Comuna 1,2,CABA,12490,1,A,Mujeres,18,6,6
2021,2007,Comuna 1,2,CABA,12490,1,A,Varones,39,7,6
2021,2007,Comuna 1,2,CABA,12510,1,A,Varones,42,1,0
2021,2007,Comuna 1,2,CABA,12701,1,A,Varones,1,1,0
2021,2007,Comuna 1,2,CABA,12900,1,A,Varones,1,1,0
2021,2007,Comuna 1,2,CABA,13011,1,A,Varones,199,4,8
2021,2007,Comuna 1,2,CABA,13011,1,A,Mujeres,23,6,8
2021,2007,Comuna 1,2,CABA,13012,1,A,Varones,115,2,0
2021,2007,Comuna 1,2,CABA,13012,1,A,Mujeres,4,1,0
2021,2007,Comuna 1,2,CABA,13013,1,A,Varones,3,1,2
2021,2007,Comuna 1,2,CABA,13013,1,A,Mujeres,3,1,2
2021,2007,Comuna 1,2,CABA,13019,1,A,Varones,71,8,9
2021,2007,Comuna 1,2,CABA,13019,1,A,Mujeres,21,6,9
2021,2007,Comuna 1,2,CABA,13020,1,A,Varones,2,1,2
2021,2007,Comuna 1,2,CABA,13020,1,A,Mujeres,2,1,2
2021,2007,Comuna 1,2,CABA,14113,1,A,Mujeres,619,366,7
2021,2007,Comuna 1,2,CABA,14113,1,A,Varones,2489,701,7
2021,2007,Comuna 1,2,CABA,14114,1,A,Varones,167,55,0
2021,2007,Comuna 1,2,CABA,14114,1,A,Mujeres,50,29,0
2021,2007,Comuna 1,2,CABA,14115,1,A,Varones,31,11,2
2021,2007,Comuna 1,2,CABA,14115,1,A,Mujeres,10,6,2
2021,2007,Comuna 1,2,CABA,14121,1,A,Varones,60,15,0
2021,2007,Comuna 1,2,CABA,14121,1,A,Mujeres,32,9,0
2021,2007,Comuna 1,2,CABA,14211,1,A,Varones,14,7,0
2021,2007,Comuna 1,2,CABA,14221,1,A,Varones,142,29,13
2021,2007,Comuna 1,2,CABA,14221,1,A,Mujeres,25,9,13
2021,2007,Comuna 1,2,CABA,14410,1,A,Varones,37,13,0
2021,2007,Comuna 1,2,CABA,14410,1,A,Mujeres,18,10,0
2021,2007,Comuna 1,2,CABA,14510,1,A,Varones,215,5,0
2021,2007,Comuna 1,2,CABA,14510,1,A,Mujeres,26,4,0
2021,2007,Comuna 1,2,CABA,14610,1,A,Varones,365,49,3
2021,2007,Comuna 1,2,CABA,14610,1,A,Mujeres,77,28,3
2021,2007,Comuna 1,2,CABA,14710,1,A,Varones,5,3,0
2021,2007,Comuna 1,2,CABA,14710,1,A,Mujeres,3,2,0
2021,2007,Comuna 1,2,CABA,14810,1,A,Varones,26,13,2
2021,2007,Comuna 1,2,CABA,14810,1,A,Mujeres,6,3,2
2021,2007,Comuna 1,2,CABA,14820,1,A,Varones,76,6,1
2021,2007,Comuna 1,2,CABA,14820,1,A,Mujeres,11,2,1
2021,2007,Comuna 1,2,CABA,14910,1,A,Mujeres,1,1,0
2021,2007,Comuna 1,2,CABA,14930,1,A,Varones,2,2,1
2021,2007,Comuna 1,2,CABA,14990,1,A,Varones,18,14,1
2021,2007,Comuna 1,2,CABA,14990,1,A,Mujeres,4,4,1
2021,2007,Comuna 1,2,CABA,16112,1,A,Varones,38,14,0
2021,2007,Comuna 1,2,CABA,16112,1,A,Mujeres,5,3,0
2021,2007,Comuna 1,2,CABA,16113,1,A,Varones,1,1,0
2021,2007,Comuna 1,2,CABA,16119,1,A,Varones,19,4,0
2021,2007,Comuna 1,2,CABA,16119,1,A,Mujeres,3,3,0
2021,2007,Comuna 1,2,CABA,16120,1,A,Varones,3,2,0
2021,2007,Comuna 1,2,CABA,16120,1,A,Mujeres,1,1,0
2021,2007,Comuna 1,2,CABA,16130,1,A,Varones,2,2,0
2021,2007,Comuna 1,2,CABA,16140,1,A,Varones,1,1,0
2021,2007,Comuna 1,2,CABA,16140,1,A,Mujeres,2,1,0
2021,2007,Comuna 1,2,CABA,16190,1,A,Varones,104,20,0
2021,2007,Comuna 1,2,CABA,16190,1,A,Mujeres,62,12,0
2021,2007,Comuna 1,2,CABA,16210,1,A,Varones,38,5,4
2021,2007,Comuna 1,2,CABA,16210,1,A,Mujeres,8,3,4
