CEPAL/CELADE Redatam+SP 01/30/2025,,,,
,,,,
Título,,,,
Edad,,,,
Base de datos,,,,
Base: Viviendas particulares,,,,
Área Geográfica,,,,
Toda la Base de Datos,,,,
Universo,,,,
Tipo de vivienda agrupada | Viviendas particulares,,,,
Frecuencia,,,,
  de Edad,,,,
,,,,
,AREA # 02007,Comuna 1,,
,,,,
,Edad,Casos,%,Acumulado %
,0,   1 720,0.78%,0.78%
,1,   1 652,0.75%,1.53%
,2,   1 996,0.90%,2.43%
,3,   2 079,0.94%,3.37%
,4,   2 329,1.05%,4.42%
,5,   2 443,1.11%,5.53%
,6,   2 459,1.11%,6.64%
,7,   2 586,1.17%,7.81%
,8,   2 525,1.14%,8.95%
,9,   2 528,1.14%,10.10%
,10,   2 350,1.06%,11.16%
,11,   2 438,1.10%,12.26%
,12,   2 512,1.14%,13.40%
,13,   2 339,1.06%,14.46%
,14,   2 325,1.05%,15.51%
,15,   2 251,1.02%,16.53%
,16,   2 286,1.03%,17.56%
,17,   2 446,1.11%,18.67%
,18,   3 012,1.36%,20.03%
,19,   3 350,1.52%,21.55%
,20,   3 445,1.56%,23.11%
,21,   3 686,1.67%,24.78%
,22,   3 869,1.75%,26.53%
,23,   3 948,1.79%,28.31%
,24,   3 955,1.79%,30.10%
,25,   4 096,1.85%,31.96%
,26,   4 104,1.86%,33.81%
,27,   4 186,1.89%,35.71%
,28,   4 126,1.87%,37.57%
,29,   4 067,1.84%,39.42%
,30,   4 192,1.90%,41.31%
,31,   4 111,1.86%,43.17%
,32,   3 890,1.76%,44.93%
,33,   4 053,1.83%,46.77%
,34,   3 752,1.70%,48.46%
,35,   3 829,1.73%,50.20%
,36,   3 539,1.60%,51.80%
,37,   3 549,1.61%,53.40%
,38,   3 460,1.57%,54.97%
,39,   3 349,1.52%,56.48%
,40,   3 516,1.59%,58.08%
,41,   3 218,1.46%,59.53%
,42,   3 249,1.47%,61.00%
,43,   2 999,1.36%,62.36%
,44,   2 968,1.34%,63.70%
,45,   3 008,1.36%,65.06%
,46,   2 902,1.31%,66.38%
,47,   3 026,1.37%,67.75%
,48,   2 751,1.24%,68.99%
,49,   2 765,1.25%,70.24%
,50,   2 809,1.27%,71.51%
,51,   2 500,1.13%,72.64%
,52,   2 591,1.17%,73.82%
,53,   2 441,1.10%,74.92%
,54,   2 295,1.04%,75.96%
,55,   2 471,1.12%,77.08%
,56,   2 291,1.04%,78.11%
,57,   2 309,1.04%,79.16%
,58,   2 264,1.02%,80.18%
,59,   2 321,1.05%,81.23%
,60,   2 336,1.06%,82.29%
,61,   2 109,0.95%,83.24%
,62,   2 167,0.98%,84.22%
